ML,MassSpectrometer
Thermo Scientific Orbitrap Exploris 240,Orbitrap Exploris 240|MS:1003094
Thermo Scientific Orbitrap Fusion Lumos Tribrid,Orbitrap Fusion Lumos|MS:1002732
Thermo Scientific Orbitrap Fusion,Orbitrap Fusion|MS:1002416
Thermo Scientific Orbitrap ID-X Tribrid,Orbitrap ID-X|MS:1003112
LECO Pegasus 4D,Pegasus 4D|MS:1001945
LECO Pegasus 4D GCxGC-TOFMS,Pegasus 4D|MS:1001945
LECO Pegasus BT 4D GCxGC-TOFMS,Pegasus 4D|MS:1001945
LECO Pegasus BT TOFMS,Pegasus BT|MS:1002719
LECO Pegasus III,Pegasus III|MS:1002278
LECO Pegasus,Pegasus|MS:1001803
Thermo Electron PolarisQ,PolarisQ|MS:1000185
Q Exactive HF,Q Exactive HF|MS:1002523
Thermo Scientific High Field Q Exactive,Q Exactive HF|MS:1002523
Thermo Scientific Q Exactive HF,Q Exactive HF|MS:1002523
Q Exactive HF-X,Q Exactive HF-X|MS:1002877
Thermo Scientific Exactive HF-X,Q Exactive HF-X|MS:1002877
Thermo Scientific Q Exactive HFX,Q Exactive HF-X|MS:1002877
Thermo Scientific Q Exactive HF-X,Q Exactive HF-X|MS:1002877
Q Exactive Plus,Q Exactive Plus|MS:1002634
Q Exactive,Q Exactive|MS:1001911
Waters Micromass Q-Tof micro,Q-Tof micro|MS:1000188
Waters Q-Tof Premier,Q-Tof Premier|MS:1000632
AB SCIEX QTRAP 4500,QTRAP 4500|MS:1002580
AB SCIEX QTRAP 5500,QTRAP 5500|MS:1000931
AB SCIEX Triple Quad 5500,QTRAP 5500|MS:1000931
AB SCIEX QTRAP 6500,QTRAP 6500|MS:1002581
AB SCIEX Triple Quad 6500,QTRAP 6500|MS:1002581
AB SCIEX QTRAP 6500+,QTRAP 6500+|MS:1002582
Bruker rapifleX,rapifleX|MS:1003122
Bruker scimaX MRMS,solariX|MS:1001549
Bruker solariX FTMS,solariX|MS:1001549
Bruker solariX XR,solariX|MS:1001549
Waters SYNAPT G2 HDMS System,Synapt G2 HDMS|MS:1001777
Waters SYNAPT G2-S HDMS,Synapt G2-S HDMS|MS:1001779
Waters SYNAPT G2-Si,SYNAPT G2-Si|MS:1002726
Waters SYNAPT G2-Si HDMS,SYNAPT G2-Si|MS:1002726
Waters SYNAPT HDMS System,Synapt HDMS|MS:1001781
Bruker timsTOF Pro,timsTOF Pro|MS:1003005
Bruker timsTOF,timsTOF|MS:1003229
Thermo Electron TRACE DSQ,TRACE DSQ|MS:1000197
Thermo Finnigan TRACE DSQ,TRACE DSQ|MS:1000197
AB SCIEX Triple Quad 6500+,Triple Quad 6500+|MS:1002595
AB SCIEX TripleTOF 4600,TripleTOF 4600|MS:1002583
AB SCIEX TripleTOF 5600,TripleTOF 5600|MS:1000932
AB SCIEX Triple TOF 5600+ System,TripleTOF 5600+|MS:1002584
AB SCIEX TripleTOF 5600+,TripleTOF 5600+|MS:1002584
AB SCIEX TripleTOF 6600,TripleTOF 6600|MS:1002533
Thermo Scientific TSQ 8000,TSQ 8000 Evo|MS:1002525
Thermo Scientific TSQ 9000,TSQ 9000|MS:1002876
Thermo Scientific TSQ Altis Plus,TSQ Altis Plus|MS:1003292
Thermo Scientic TSQ Quantiva,TSQ Quantiva|MS:1002418
Thermo Scientific TSQ Quantum Ultra,TSQ Quantum Ultra|MS:1000751
Thermo Scientific TSQ Quantum,TSQ Quantum|MS:1000199
Thermo Scientific TSQ Vantage,TSQ Vantage|MS:1001510
Bruker ultrafleXtreme,ultrafleXtreme|MS:1001544
Waters Vion IMS QTof,Vion IMS QTof|MS:1002728
AB SCIEX X500R QTOF,X500R QTOF|MS:1002674
X500R QTOF,X500R QTOF|MS:1002674
Waters Xevo G2 QTof,Xevo G2 Q-Tof|MS:1001783
Waters Xevo G2-XS Qtof,Xevo G2 XS Tof|MS:1002729
Waters Xevo G2-XS QTof,Xevo G2 XS Tof|MS:1002729
Waters Corporation Xevo G2S QTOF mass spectrometer,Xevo G2-S QTof|MS:1002276
Waters Xevo G2-S QTof,Xevo G2-S QTof|MS:1002276
Xevo G2-S QTof,Xevo G2-S QTof|MS:1002276
XEVO TQ-S mass spectrometer,Xevo G2-S QTof|MS:1002276
Waters Xevo G2-S Tof,Xevo G2-S Tof|MS:1002275
Waters XEVO-G2 XS QTOF,Xevo G2-XS QTof|MS:1003252
Waters Xevo TQ,Xevo TQ MS|MS:1001790
Waters Xevo TQ MS,Xevo TQ MS|MS:1001790
Waters Xevo TQ-S micro,Xevo TQ-S micro|MS:1002731
Waters Xevo TQ-S,Xevo TQ-S|1001792
Waters Xevo TQ-XS,Xevo TQ-XS|MS:1002730
1200 series LC/MSD SL,1200 series LC/MSD SL|MS:1000467
1200 series LC/MSD VL,1200 series LC/MSD VL|MS:1000478
2000 QTRAP,2000 QTRAP|MS:1002577
2500 QTRAP,2500 QTRAP|MS:1002578
3100,3100|MS:1001786
3200 QTRAP,3200 QTRAP|MS:1000651
3500 QTRAP,3500 QTRAP|MS:1002579
4000 QTRAP,4000 QTRAP|MS:1000139
4000 QTRAP,4000 QTRAP|MS:1000870
4700 Proteomics Analyzer,4700 Proteomics Analyzer|MS:1000140
4800 Plus MALDI TOF/TOF,4800 Plus MALDI TOF/TOF|MS:1000652
4800 Proteomics Analyzer,4800 Proteomics Analyzer|MS:1000658
5800 TOF/TOF,5800 TOF/TOF|MS:1001482
6110 Quadrupole LC/MS,6110 Quadrupole LC/MS|MS:1000468
6120A Quadrupole LC/MS,6120A Quadrupole LC/MS|MS:1000469
6120B Quadrupole LC/MS,6120B Quadrupole LC/MS|MS:1002794
6130 Quadrupole LC/MS,6130 Quadrupole LC/MS|MS:1000470
6140 Quadrupole LC/MS,6140 Quadrupole LC/MS|MS:1000471
6150 Quadrupole LC/MS,6150 Quadrupole LC/MS|MS:1002795
6210 Time-of-Flight LC/MS,6210 Time-of-Flight LC/MS|MS:1000472
6220 Time-of-Flight LC/MS,6220 Time-of-Flight LC/MS|MS:1000675
6224 Time-of-Flight LC/MS,6224 Time-of-Flight LC/MS|MS:1002796
6230A Time-of-Flight LC/MS,6230A Time-of-Flight LC/MS|MS:1002797
6230B Time-of-Flight LC/MS,6230B Time-of-Flight LC/MS|MS:1002798
6310 Ion Trap LC/MS,6310 Ion Trap LC/MS|MS:1000473
6320 Ion Trap LC/MS,6320 Ion Trap LC/MS|MS:1000474
6330 Ion Trap LC/MS,6330 Ion Trap LC/MS|MS:1000475
6340 Ion Trap LC/MS,6340 Ion Trap LC/MS|MS:1000476
6410 Triple Quadrupole LC/MS,6410 Triple Quadrupole LC/MS|MS:1000477
6420 Triple Quadrupole LC/MS,6420 Triple Quadrupole LC/MS|MS:1002444
6430 Triple Quadrupole LC/MS,6430 Triple Quadrupole LC/MS|MS:1002799
6460 Triple Quadrupole LC/MS,6460 Triple Quadrupole LC/MS|MS:1002445
6470A Triple Quadrupole LC/MS,6470A Triple Quadrupole LC/MS|MS:1000935
6470B Triple Quadrupole LC/MS,6470B Triple Quadrupole LC/MS|MS:1000936
6490 Triple Quadrupole LC/MS,6490 Triple Quadrupole LC/MS|MS:1002446
6495A Triple Quadrupole LC/MS,6495A Triple Quadrupole LC/MS|MS:1002800
6495B Triple Quadrupole LC/MS,6495B Triple Quadrupole LC/MS|MS:1002801
6495C Triple Quadrupole LC/MS,6495C Triple Quadrupole LC/MS|MS:1000937
6510 Quadrupole Time-of-Flight LC/MS,6510 Quadrupole Time-of-Flight LC/MS|MS:1000676
6520A Quadrupole Time-of-Flight LC/MS,6520A Quadrupole Time-of-Flight LC/MS|MS:1000677
6520B Q-TOF LC/MS,6520B Q-TOF LC/MS|MS:1002785
6530A Q-TOF LC/MS,6530A Q-TOF LC/MS|MS:1002786
6530B Q-TOF LC/MS,6530B Q-TOF LC/MS|MS:1002787
6538 Q-TOF LC/MS,6538 Q-TOF LC/MS|MS:1002788
6540 Q-TOF LC/MS,6540 Q-TOF LC/MS|MS:1002789
6542 Q-TOF LC/MS,6542 Q-TOF LC/MS|MS:1002790
6545 Q-TOF LC/MS,6545 Q-TOF LC/MS|MS:1002791
6550 iFunnel Q-TOF LC/MS,6550 iFunnel Q-TOF LC/MS|MS:1002783
6550A iFunnel Q-TOF LC/MS,6550A iFunnel Q-TOF LC/MS|MS:1002784
6560 Q-TOF LC/MS,6560 Q-TOF LC/MS|MS:1002792
6570 Q-TOF LC/MS,6570 Q-TOF LC/MS|MS:1002793
7000A Triple Quadrupole GC/MS,7000A Triple Quadrupole GC/MS|MS:1002802
7000B Triple Quadrupole GC/MS,7000B Triple Quadrupole GC/MS|MS:1002803
7800 Quadrupole ICP-MS,7800 Quadrupole ICP-MS|MS:1002804
8800 Triple Quadrupole ICP-MS,8800 Triple Quadrupole ICP-MS|MS:1002805
Accela PDA,Accela PDA|MS:1000623
ACQUITY RDa Detector,ACQUITY RDa Detector|MS:1003381
Acquity SQD,Acquity SQD|MS:1001787
Acquity TQD,Acquity TQD|MS:1001788
Acquity UPLC FLR,Acquity UPLC FLR|MS:1000819
ACQUITY UPLC H-Class Bio,ACQUITY UPLC H-Class Bio|MS:1001763
ACQUITY UPLC H-Class,ACQUITY UPLC H-Class|MS:1001762
ACQUITY UPLC I-Class,ACQUITY UPLC I-Class|MS:1001764
Acquity UPLC PDA,Acquity UPLC PDA|MS:1000818
ACQUITY UPLC Systems with 2D Technology,ACQUITY UPLC Systems with 2D Technology|MS:1001765
ACQUITY UPLC,ACQUITY UPLC|MS:1001761
Agilent 6546 QTOF,Agilent 6546 QTOF|not available
Agilent GC 6890,Agilent GC 6890|MS:5973
Agilent GC 6890-MS 5973,Agilent GC 6890-MS 5973
Agilent GC 7820A-MS 5977B,Agilent GC 7820A-MS 5977B|not available
Agilent instrument model,Agilent instrument model|MS:1000490
amaZon ETD,amaZon ETD|MS:1001542
amaZon Speed ETD,amaZon Speed ETD|MS:1002300
amaZon Speed,amaZon Speed|MS:1002301
amaZon X,amaZon X|MS:1001546
apex IV,apex IV|MS:1000141
apex Q,apex Q|MS:1000142
apex ultra,apex ultra|MS:1000695
API 100,API 100|MS:1002585
API 100LC,API 100LC|MS:1002586
API 150EX Prep,API 150EX Prep|MS:1000144
API 150EX,API 150EX|MS:1000143
API 165,API 165|MS:1002587
API 2000,API 2000|MS:1000145
API 300,API 300|MS:1002588
API 3000,API 3000|MS:1000146
API 3200,API 3200|MS:1000653
API 350,API 350|MS:1002589
API 365,API 365|MS:1002590
API 4000,API 4000|MS:1000147
API 5000,API 5000|MS:1000654
Applied Biosystems instrument model,Applied Biosystems instrument model|MS:1000495
Auto Spec Ultima NT,Auto Spec Ultima NT|MS:1000150
autoflex II TOF/TOF,autoflex II TOF/TOF|MS:1001553
autoflex II,autoflex II|MS:1000148
autoflex III smartbeam,autoflex III smartbeam|MS:1000696
autoflex III TOF/TOF smartbeam,autoflex III TOF/TOF smartbeam|MS:1001554
autoflex TOF/TOF,autoflex TOF/TOF|MS:1000149
autoflex,autoflex|MS:1001555
AutoSpec Premier,AutoSpec Premier|MS:1002277
AXIMA Assurance Linear MALDI-TOF,AXIMA Assurance Linear MALDI-TOF|MS:1000612
AXIMA CFR MALDI-TOF,AXIMA CFR MALDI-TOF|MS:1000607
AXIMA Confidence MALDI-TOF,AXIMA Confidence MALDI-TOF|MS:1000611
AXIMA Performance MALDI-TOF/TOF,AXIMA Performance MALDI-TOF/TOF|MS:1000610
AXIMA-CFR plus,AXIMA-CFR plus|MS:1000609
AXIMA-QIT,AXIMA-QIT|MS:1000608
BioTOF II,BioTOF II|MS:1000151
BioTOF III,BioTOF III|MS:1001538
BioTOF,BioTOF|MS:1001537
BioTOF-Q,BioTOF-Q|MS:1000152
Bruker Daltonics amaZon series,Bruker Daltonics amaZon series|MS:1001545
Bruker Daltonics apex series,Bruker Daltonics apex series|MS:1001556
Bruker Daltonics BioTOF series,Bruker Daltonics BioTOF series|MS:1001535
Bruker Daltonics esquire series,Bruker Daltonics esquire series|MS:1001533
Bruker Daltonics EVOQ series,Bruker Daltonics EVOQ series|MS:1002294
Bruker Daltonics flex series,Bruker Daltonics flex series|MS:1001534
Bruker Daltonics HCT Series,Bruker Daltonics HCT Series|MS:1000697
Bruker Daltonics instrument model,Bruker Daltonics instrument model|MS:1000122
Bruker Daltonics maXis series,Bruker Daltonics maXis series|MS:1001547
Bruker Daltonics micrOTOF series,Bruker Daltonics micrOTOF series|MS:1001536
Bruker Daltonics SCION series,Bruker Daltonics SCION series|MS:1002293
Bruker Daltonics solarix series,Bruker Daltonics solarix series|MS:1001548
Bruker Daltonics timsTOF series,Bruker Daltonics timsTOF series|MS:1003123
Citius HRT,Citius HRT|MS:1001802
compact,compact|MS:1002280
DELTA plusAdvantage,DELTA plusAdvantage|MS:1000153
DELTAplusXP,DELTAplusXP|MS:1000154
DFS,DFS|MS:1000640
Dionex instrument model,Dionex instrument model|MS:1000491
DSQ II,DSQ II|MS:1000641
DSQ,DSQ|MS:1000634
Element 2,Element 2|MS:1000646
Element GD,Element GD|MS:1000647
Element XR,Element XR|MS:1000645
esquire 4000,esquire 4000|MS:1000156
esquire 6000,esquire 6000|MS:1000157
EVOQ Elite,EVOQ Elite|MS:1002297
EVOQ Qube,EVOQ Qube|MS:1002298
Exactive Plus,Exactive Plus|MS:1002526
Exactive,Exactive|MS:1000649
explorer,explorer|MS:1000158
Finnigan MAT instrument model,Finnigan MAT instrument model|MS:1000493
GC IsoLink,GC IsoLink|MS:1000648
GC Quantum,GC Quantum|MS:1000558
GCMS-QP2010SE,GCMS-QP2010SE|MS:1003152
GCT Premier,GCT Premier|MS:1001770
GCT,GCT|MS:1000159
HCT,HCT|MS:1000160
HCTplus,HCTplus|MS:1000161
HCTultra ETD II,HCTultra ETD II|MS:1000700
HCTultra PTM,HCTultra PTM|MS:1000699
HCTultra,HCTultra|MS:1000698
HiRes ESI,HiRes ESI|MS:1000162
HiRes MALDI,HiRes MALDI|MS:1000163
Hitachi instrument model,Hitachi instrument model|MS:1000488
impact HD,impact HD|MS:1002667
impact II,impact II|MS:1002666
impact,impact|MS:1002077
IonSpec instrument model,IonSpec instrument model|MS:1000123
IsoPrime,IsoPrime|MS:1000164
IsoProbe T,IsoProbe T|MS:1000166
IsoProbe,IsoProbe|MS:1000165
ISQ,ISQ|MS:1001908
ITQ 1100,ITQ 1100|MS:1000637
ITQ 700,ITQ 700|MS:1000635
ITQ 900,ITQ 900|MS:1000636
LCMS-2010A,LCMS-2010A|MS:1000606
LCMS-2010EV,LCMS-2010EV|MS:1000605
LCMS-2020,LCMS-2020|MS:1003003
LCMS-8040,LCMS-8040|MS:1003002
LCMS-8045,LCMS-8045|MS:1003001
LCMS-8050,LCMS-8050|MS:1003000
LCMS-8060,LCMS-8060|MS:1002999
LCMS-9030,LCMS-9030|MS:1002998
LCMS-IT-TOF,LCMS-IT-TOF|MS:1000604
LCQ Advantage,LCQ Advantage|MS:1000167
LCQ Classic,LCQ Classic|MS:1000168
LCQ Deca XP Plus,LCQ Deca XP Plus|MS:1000169
LCQ Deca,LCQ Deca|MS:1000554
LCQ Fleet,LCQ Fleet|MS:1000578
LECO instrument model,LECO instrument model|MS:1001800
LTQ FT Ultra,LTQ FT Ultra|MS:1000557
LTQ FT,LTQ FT|MS:1000448
LTQ Orbitrap Classic,LTQ Orbitrap Classic|MS:1002835
LTQ Orbitrap Discovery,LTQ Orbitrap Discovery|MS:1000555
LTQ Orbitrap Elite,LTQ Orbitrap Elite|MS:1001910
LTQ Orbitrap Elite,LTQ Orbitrap Elite|MS:1001910
LTQ Orbitrap Velos,LTQ Orbitrap Velos|MS:1001742
LTQ Orbitrap XL ETD,LTQ Orbitrap XL ETD|MS:1000639
LTQ Orbitrap XL,LTQ Orbitrap XL|MS:1000556
LTQ Orbitrap,LTQ Orbitrap|MS:1000449
LTQ Velos ETD,LTQ Velos ETD|MS:1000856
LTQ Velos,LTQ Velos|MS:1000855
LTQ XL ETD,LTQ XL ETD|MS:1000638
LTQ XL,LTQ XL|MS:1000854
LTQ,LTQ|MS:1000447
LXQ,LXQ|MS:1000450
M@LDI L,M@LDI L|MS:1000170
M@LDI LR,M@LDI LR|MS:1000171
MALDI LTQ Orbitrap,MALDI LTQ Orbitrap|MS:1000643
MALDI LTQ XL,MALDI LTQ XL|MS:1000642
MALDI Synapt G2 HDMS,MALDI Synapt G2 HDMS|MS:1001771
MALDI Synapt G2 MS,MALDI Synapt G2 MS|MS:1001772
MALDI Synapt G2-S HDMS,MALDI Synapt G2-S HDMS|MS:1001773
MALDI Synapt G2-S MS,MALDI Synapt G2-S MS|MS:1001774
MALDI SYNAPT G2-Si,MALDI SYNAPT G2-Si|MS:1002727
MALDI Synapt HDMS,MALDI Synapt HDMS|MS:1001775
MALDI Synapt MS,MALDI Synapt MS|MS:1001776
MAT253,MAT253|MS:1000172
MAT900XP Trap,MAT900XP Trap|MS:1000174
MAT900XP,MAT900XP|MS:1000173
MAT95XP Trap,MAT95XP Trap|MS:1000176
MAT95XP,MAT95XP|MS:1000175
maXis 4G,maXis 4G|MS:1002279
maXis II,maXis II|MS:1003004
maXis,maXis|MS:1001541
microflex II,microflex II|MS:1001550
microflex LRF,microflex LRF|MS:1001543
microflex LT,microflex LT|MS:1000701
microflex,microflex|MS:1000177
micrOTOF II,micrOTOF II|MS:1001540
microTOF LC,microTOF LC|MS:1000178
micrOTOF,micrOTOF|MS:1000702
micrOTOF-Q II,micrOTOF-Q II|MS:1000704
micrOTOF-Q III,micrOTOF-Q III|MS:1002299
micrOTOF-Q,micrOTOF-Q|MS:1000703
ML import: not available,ML import: not available
nanoACQUITY UPLC System with 1D Technology,nanoACQUITY UPLC System with 1D Technology|MS:1001767
nanoACQUITY UPLC with HDX Technology,nanoACQUITY UPLC with HDX Technology|MS:1001768
nanoACQUITY UPLC,nanoACQUITY UPLC|MS:1001766
neptune,neptune|MS:1000179
NG-5400,NG-5400|MS:1000180
not specified,not specified
OMEGA,OMEGA|MS:1000181
OMEGA-2001,OMEGA-2001|MS:1000182
OmniFlex,OmniFlex|MS:1000183
Orbitrap Ascend,Orbitrap Ascend|MS:1003356
Orbitrap Astral,Orbitrap Astral|MS:1003378
Orbitrap Eclipse,Orbitrap Eclipse|MS:1003029
Orbitrap Exploris 120,Orbitrap Exploris 120|MS:1003095
Orbitrap Exploris 240,Orbitrap Exploris 240|MS:1003094
Orbitrap Exploris 480,Orbitrap Exploris 480|MS:1003028
Orbitrap Fusion ETD,Orbitrap Fusion ETD|MS:1002417
Orbitrap Fusion Lumos,Orbitrap Fusion Lumos|MS:1002732
Orbitrap Fusion,Orbitrap Fusion|MS:1002416
Orbitrap ID-X,Orbitrap ID-X|MS:1003112
Pegasus 4D,Pegasus 4D|MS:1001945
Pegasus BT,Pegasus BT|MS:1002719
Pegasus HRT,Pegasus HRT|MS:1001801
Pegasus III,Pegasus III|MS:1002278
Pegasus,Pegasus|MS:1001803
Platform ICP,Platform ICP|MS:1000184
PolarisQ,PolarisQ|MS:1000185
proteomics solution 1,proteomics solution 1|MS:1000186
Q Exactive HF,Q Exactive HF|MS:1002523
Q Exactive HF-X,Q Exactive HF-X|MS:1002877
Q Exactive Plus,Q Exactive Plus|MS:1002634
Q Exactive UHMR,Q Exactive UHMR|MS:1003245
Q Exactive,Q Exactive|MS:1001911
Q TRAP,Q TRAP|MS:1000187
QSTAR Elite,QSTAR Elite|MS:1000655
QSTAR Pulsar,QSTAR Pulsar|MS:1000656
QSTAR XL,QSTAR XL|MS:1000657
QSTAR,QSTAR|MS:1000190
Q-Tof micro,Q-Tof micro|MS:1000188
Q-Tof Premier,Q-Tof Premier|MS:1000632
Q-Tof Ultima,Q-Tof Ultima|MS:1000189
QTRAP 4500,QTRAP 4500|MS:1002580
QTRAP 5500,QTRAP 5500|MS:1000931
QTRAP 6500,QTRAP 6500|MS:1002581
QTRAP 6500+,QTRAP 6500+|MS:1002582
Quattro micro GC,Quattro micro GC|MS:1001789
quattro micro,quattro micro|MS:1000191
Quattro Ultima,Quattro Ultima|MS:1000192
rapifleX,rapifleX|MS:1003122
SCIEX instrument model,SCIEX instrument model|MS:1000121
SCIEX TOF/TOF database,SCIEX TOF/TOF database|MS:1001481
SCION SQ,SCION SQ|MS:1002295
SCION TQ,SCION TQ|MS:1002296
SELECT SERIES Cyclic IMS,SELECT SERIES Cyclic IMS|MS:1003184
SELECT SERIES MRT,SELECT SERIES MRT|MS:1003185
Shimadzu instrument model,Shimadzu instrument model|MS:1000124
Shimadzu MALDI-7090,Shimadzu MALDI-7090|MS:1002382
Shimadzu MALDI-TOF instrument model,Shimadzu MALDI-TOF instrument model|MS:1000602
Shimadzu Scientific Instruments instrument model,Shimadzu Scientific Instruments instrument model|MS:1000603
solariX,solariX|MS:1001549
SQ Detector 2,SQ Detector 2|MS:1002274
SSQ 7000,SSQ 7000|MS:1000748
Surveyor MSQ,Surveyor MSQ|MS:1000193
Surveyor PDA,Surveyor PDA|MS:1000622
SymBiot I,SymBiot I|MS:1000194
SymBiot XVI,SymBiot XVI|MS:1000195
Synapt G2 HDMS,Synapt G2 HDMS|MS:1001777
Synapt G2 MS,Synapt G2 MS|MS:1001778
Synapt G2-S HDMS,Synapt G2-S HDMS|MS:1001779
Synapt G2-S MS,Synapt G2-S MS|MS:1001780
SYNAPT G2-Si,SYNAPT G2-Si|MS:1002726
Synapt HDMS,Synapt HDMS|MS:1001781
Synapt MS,Synapt MS|MS:1001782
Synapt XS,Synapt XS|MS:1003183
TEMPUS TOF,TEMPUS TOF|MS:1000196
Thermo Electron instrument model,Thermo Electron instrument model|MS:1000492
Thermo Finnigan instrument model,Thermo Finnigan instrument model|MS:1000125
Thermo Fisher Scientific instrument model,Thermo Fisher Scientific instrument model|MS:1000483
Thermo Scientific instrument model,Thermo Scientific instrument model|MS:1000494
timsTOF fleX,timsTOF fleX|MS:1003124
timsTOF Pro 2,timsTOF Pro 2|MS:1003230
timsTOF Pro,timsTOF Pro|MS:1003005
timsTOF SCP,timsTOF SCP|MS:1003231
timsTOF Ultra,timsTOF Ultra|MS:1003383
timsTOF,timsTOF|MS:1003229
TRACE DSQ,TRACE DSQ|MS:1000197
